CSVFile,InputData,Kernel,Data,DataID,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
rodinia_3.1_cuda_lud_labelled-lassen.csv,1024,lud_internal,m,0,813069465.879091,1196232536.0075755,16152.060606060606,52.2569696969697,21.875151515151515,13392.484848484848,71.32969696969697,25.59787878787879,12052.997575757578,39.70121212121214,256.0,2206.6666666666665,30.0,16384.0,0.0,0.0,2048.0,564906.6666666665,3.4481818181818173,32.0,8.0,48.0,8.0,64.0,100.0,76.4930303030303,48.95606060606061,1,0x200060000000,0x200060400000,4194304,12,18,4096.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1024,lud_perimeter,m,0,461494397.3590909,689388275.0730305,7290.484848484847,2.6627272727272726,1.9087878787878791,10570.666666666666,8.849696969696966,1.723939393939394,2196.379696969697,2.183636363636363,32.0,46.0,81.0,65536.0,0.0,0.0,3072.0,1472.0,0.0287878787878788,32.0,20.0,32.0,64.0,20.0,31.25,1.5600000000000005,1.0,1,0x200060000000,0x200060400000,4194304,12,18,4096.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1280,lud_diagonal,m,0,804968698.2288238,1204095124.0705886,18091.08823529412,0.1,0.01,15023.05882352941,9.405588235294116,0.05,187.57647058823525,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200060640000,6553600,21,37,6400.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1280,lud_internal,m,0,839175092.8793938,1234957718.0984848,26114.78787878788,58.96939393939394,29.456060606060603,21026.90909090909,71.52242424242424,28.54393939393939,21759.52545454545,44.84393939393939,256.0,3934.666666666666,30.0,16384.0,0.0,0.0,2048.0,1007274.6666666664,6.148484848484848,32.0,8.0,48.0,8.0,64.0,100.0,82.19454545454545,52.60545454545455,1,0x200060000000,0x200060640000,6553600,21,37,6400.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1280,lud_perimeter,m,0,469790261.44212127,701087052.9021211,7488.393939393939,3.493636363636363,2.4939393939393937,10676.363636363636,8.486666666666666,2.173939393939394,3084.283030303031,2.8666666666666667,32.0,62.0,81.0,65536.0,0.0,0.0,3072.0,1984.0,0.0384848484848485,32.0,20.0,32.0,64.0,20.0,31.25,1.5600000000000005,1.0,1,0x200060000000,0x200060640000,6553600,21,37,6400.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1536,lud_diagonal,m,0,806047838.5158821,1205638056.15,18081.23529411765,0.1,0.01,14995.764705882351,9.39970588235294,0.05,187.7102941176471,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200060900000,9437184,29,22,9216.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1536,lud_internal,m,0,853250770.1712121,1258479253.5448484,39229.606060606064,61.81818181818182,36.354848484848496,31003.151515151512,70.18848484848486,30.07878787878788,34660.427878787865,47.16212121212121,256.0,6174.666666666668,30.0,16384.0,0.0,0.0,2048.0,1580714.666666667,9.648787878787877,32.0,8.0,48.0,8.0,64.0,100.0,86.2809090909091,55.21939393939393,1,0x200060000000,0x200060900000,9437184,29,22,9216.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1536,lud_perimeter,m,0,468288761.9075758,698420693.0587881,7526.787878787878,4.371515151515151,3.112727272727272,10772.363636363636,8.830909090909092,2.6836363636363645,3720.936060606061,3.5878787878787883,32.0,78.0,81.0,65536.0,0.0,0.0,3072.0,2496.0,0.0487878787878788,32.0,20.0,32.0,64.0,20.0,31.25,1.6236363636363644,1.04,1,0x200060000000,0x200060900000,9437184,29,22,9216.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1792,lud_diagonal,m,0,802489938.0441178,1200236696.1120586,18074.970588235294,0.1,0.01,15057.882352941177,9.379999999999995,0.05,188.09529411764717,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200060c40000,12845056,39,21,12544.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,1792,lud_internal,m,0,856974284.5506061,1267670322.5815153,55327.454545454544,63.28878787878786,40.7878787878788,43506.42424242424,69.10151515151514,31.71242424242424,50731.0096969697,48.3890909090909,256.0,8926.666666666666,30.0,16384.0,0.0,0.0,2048.0,2285226.666666666,13.94878787878788,32.0,8.0,48.0,8.0,64.0,100.0,88.10909090909092,56.38969696969696,1,0x200060000000,0x200060c40000,12845056,39,21,12544.0,0.0,0.0,0
